기출년도,과목,문제,보기1,보기2,보기3,보기4,정답,해설,이미지
"2021","상법(보험편)","1. 보험계약에 관한 설명으로 옳지 않은 것은?","1. 보험계약은 유상ㆍ쌍무계약이다.","2. 보험계약은 보험자의 청약에 대하여 보험계약자가 승낙함으로써 성립한다.","3. 보험계약은 보험자의 보험금 지급책임이 우연한 사고의 발생에 달려 있으므로 사행계약의 성질을 갖는다.","4. 보험계약은 부합계약이다.","2","보험계약은 일반적으로 보험계약자의 청약과 보험자의 승낙으로 성립한다. 보기 2번은 보험자의 청약과 보험계약자의 승낙으로 설명하고 있어 반대로 기술되었다.",""
"2021","상법(보험편)","2. 타인을 위한 보험에 관한 설명으로 옳은 것은?","1. 보험계약자는 위임을 받지 아니하면 특정의 타인을 위하여 보험계약을 체결할 수 없다.","2. 타인을 위한 보험계약의 경우에 그 타인은 수익의 의사표시를 하여야 그 계약의 이익을 받을 수 있다.","3. 보험계약자가 불특정의 타인을 위한 보험을 그 타인의 위임 없이 체결할 경우에는 이를 보험자에게 고지할 필요가 없다.","4. 타인을 위한 보험계약의 경우 보험계약자가 보험료의 지급을 지체한 때에는 그 타인이 그 권리를 포기하지 아니하는 한 그 타인도 보험료를 지급할 의무가 있다.","4","상법 제639조에 따라 타인을 위한 보험계약에서 보험계약자가 보험료 지급을 지체한 경우, 그 타인이 권리를 포기하지 않는 한 타인도 보험료를 지급할 의무를 진다.",""
"2021","상법(보험편)","3. 상법상 보험에 관한 설명으로 옳은 것은?","1. 보험증권의 멸실로 보험계약자가 증권의 재교부를 청구한 경우 증권의 작성비용은 보험자의 부담으로 한다.","2. 보험기간의 시기는 보험계약 이후로만 하여야 한다.","3. 보험계약당시에 보험사고가 이미 발생하였을 경우 당사자 쌍방과 피보험자가 이를 알지 못하였어도 그 계약은 무효이다.","4. 보험계약의 당사자는 보험증권의 교부가 있은 날로부터 일정한 기간내에 한하여 그 증권내용의 정부(正否)에 관한 이의를 할 수 있음을 약정할 수 있다.","4","상법 제667조에 의해 보험계약 당사자는 증권 교부일로부터 일정한 기간 내에 증권 내용의 정부(正否)에 관한 이의를 할 수 있음을 약정할 수 있다.",""
"2021","상법(보험편)","4. 보험대리상 등의 권한에 관한 설명으로 옳지 않은 것은?","1. 보험대리상은 보험계약자로부터 보험계약에 관한 청약의 의사표시를 수령할 수 있다.","2. 보험자는 보험계약자로부터 보험료를 수령할 수 있는 보험대리상의 권한을 제한할 수 있다.","3. 보험대리상은 보험계약자에게 보험계약에 관한 해지의 의사표시를 할 수 없다.","4. 보험대리상이 아니면서 특정한 보험자를 위하여 계속적으로 보험계약의 체결을 중개하는 자는 보험계약자로부터 보험계약에 관한 취소의 의사표시를 수령할 수 없다.","3","보험대리상은 보험계약자에게 보험계약의 체결, 변경, 해지 등에 관한 의사표시를 할 권한이 있다.",""
"2021","상법(보험편)","5. 보험계약의 해지에 관한 설명으로 옳지 않은 것은?","1. 보험계약자가 보험계약을 전부 해지했을 때에는 언제든지 미경과보험료의 반환을 청구할 수 있다.","2. 타인을 위한 보험의 경우를 제외하고, 보험사고가 발생하기 전에는 보험계약자는 언제든지 보험계약의 전부를 해지할 수 있다.","3. 타인을 위한 보험계약의 경우 보험사고가 발생하기 전에는 그 타인의 동의를 얻으면 그 계약을 해지할 수 있다.","4. 보험금액이 지급된 때에도 보험금액이 감액되지 아니하는 보험의 경우에는 보험계약자는 그 사고발생후에도 보험계약을 해지할 수 있다.","1","보험계약자가 계약을 해지한 경우 미경과보험료의 반환을 청구할 수 있으나, '언제든지'라는 표현보다는 약관이나 법령이 정한 바에 따르며 특히 사고 발생 전이어야 하는 등 제한이 있다.",""
"2021","상법(보험편)","6. 보험료의 지급과 지체의 효과에 관한 설명으로 옳은 것은?","1. 보험계약자는 계약체결후 지체없이 보험료의 전부 또는 제1회 보험료를 지급하여야 한다.","2. 계속보험료가 약정한 시기에 지급되지 아니한 때에는 보험자는 상당한 기간을 정하여 보험계약자에게 최고하고 그 기간내에 지급되지 아니한 때에는 그 계약은 해지된 것으로 본다.","3. 특정한 타인을 위한 보험의 경우에 보험계약자가 보험료의 지급을 지체한 때에는 보험자는 그 계약을 해제 또는 해지할 수 있다.","4. 보험계약자가 최초보험료를 지급하지 아니한 경우에는 다른 약정이 없는 한 계약성립 후 1월이 경과하면 그 계약은 해제된 것으로 본다.","1","상법 제640조에 따라 보험계약자는 계약 체결 후 지체 없이 보험료의 전부 또는 제1회 보험료를 지급하여야 한다.",""
"2021","상법(보험편)","7. 고지의무에 관한 설명으로 옳지 않은 것은?","1. 고지의무를 부담하는 자는 보험계약상의 보험계약자 또는 보험수익자이다.","2. 보험계약자가 고의로 중요한 사항을 고지하지 아니한 경우, 보험자는 계약 체결일로부터 1월이 된 시점에는 계약을 해지할 수 있다.","3. 보험자가 계약당시에 보험계약자의 고지의무위반 사실을 알았을 때에는 계약을 해지할 수 없다.","4. 보험계약자가 중대한 과실로 중요한 사항을 고지하지 아니한 경우, 보험자는 계약 체결일로부터 5년이 경과한 시점에는 계약을 해지할 수 없다.","1","고지의무를 부담하는 자는 보험계약자 또는 피보험자이다. 보험수익자는 고지의무자가 아니다.",""
"2021","상법(보험편)","8. 보험약관에 관한 설명으로 옳은 것을 모두 고른 것은? (다툼이 있으면 판례에 따름)
ㄱ. 보통보험약관이 계약당사자에 대하여 구속력을 가지는 것은 보험계약 당사자 사이에서 계약내용에 포함시키기로 합의하였기 때문이다.
ㄴ. 보험자가 약관의 교부ㆍ설명 의무를 위반한 경우에 보험계약이 성립한 날부터 3개월 이내에는 피보험자 또는 보험수익자도 그 계약을 해지할 수 있다.
ㄷ. 약관의 내용이 이미 법령에 의하여 정하여진 것을 되풀이 하는 정도에 불과한 경우, 보험자는 고객에게 이를 따로 설명하지 않아도 된다.","1. ㄱ, ㄴ","2. ㄱ, ㄷ","3. ㄴ, ㄷ","4. ㄱ, ㄴ, ㄷ","2","ㄱ과 ㄷ은 옳은 설명이다. ㄴ의 경우 약관의 교부·설명 의무 위반 시 보험계약자만이 계약을 취소할 수 있으며, 피보험자나 보험수익자의 권리가 아니다.",""
"2021","상법(보험편)","9. 위험변경증가의 통지와 계약해지에 관한 설명으로 옳은 것은?","1. 보험기간 중에 피보험자가 사고발생의 위험이 현저하게 변경 또는 증가된 사실을 안 때에는 지체없이 보험자에게 통지하여야 한다.","2. 보험계약체결 직전에 보험계약자가 사고발생의 위험이 변경 또는 증가된 사실을 안 때에는 지체없이 보험자에게 통지하여야 한다.","3. 보험기간 중에 위험변경증가의 통지를 받은 때에는 보험자는 3개월 내에 보험료의 증액을 청구할 수 있다.","4. 보험기간 중에 위험변경증가의 통지를 받은 때에는 보험자는 3개월 내에 계약을 해지할 수 있다.","1","보험기간 중에 사고발생의 위험이 현저하게 변경 또는 증가된 사실을 안 때에는 피보험자 또는 보험계약자는 지체 없이 보험자에게 통지하여야 한다(상법 제652조).",""
"2021","상법(보험편)","10. 보험계약자 등의 고의나 중과실로 인한 위험증가와 계약해지에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)","1. 보험기간 중에 보험계약자의 중대한 과실로 인하여 사고발생의 위험이 현저하게 증가된 때에는 보험자는 그 사실을 안 날부터 1월내에 보험료의 증액을 청구할 수 있다.","2. 위험의 현저한 변경이나 증가된 사실과 보험사고 발생과의 사이에 인과관계가 부존재한다는 점에 관한 주장ㆍ입증책임은 보험자 측에 있다.","3. 보험기간 중에 피보험자의 고의로 인하여 사고발생의 위험이 현저하게 증가된 때에는 보험자는 그 사실을 안 날부터 1월내에 계약을 해지할 수 있다.","4. 사고 발생의 위험이 현저하게 변경 또는 증가된 사실이라 함은 그 변경 또는 증가된 위험이 보험계약의 체결 당시에 존재하고 있었다면 보험자가 보험계약을 체결하지 않았거나 적어도 그 보험료로는 보험을 인수하지 않았을 것으로 인정되는 정도의 것을 말한다.","2","위험의 현저한 변경 및 증가 사실과 보험사고 발생 사이의 인과관계가 존재하지 않는다는 점에 대한 입증책임은 보험자가 아닌 '보험계약자' 측에 있다.",""
